filename,microscope,cell_line,culture_medium,formation_method,seeding_density,timepoint,biological_rep,technical_rep,magnification,full_path,mask_path,timepoint_hour,seeding_density_num
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_194h_B1_T1_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,194h,B1,T1,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_194h_B1_T1_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_194h_B1_T1_10X.tiff,194,3000
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_070h_B1_T1_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,070h,B1,T1,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_070h_B1_T1_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_070h_B1_T1_10X.tiff,70,3000
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_134h_B1_T1_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,134h,B1,T1,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_134h_B1_T1_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_134h_B1_T1_10X.tiff,134,3000
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_290h_B1_T1_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,290h,B1,T1,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_290h_B1_T1_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_290h_B1_T1_10X.tiff,290,3000
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_078h_B1_T1_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,078h,B1,T1,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_078h_B1_T1_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_078h_B1_T1_10X.tiff,78,3000
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_230h_B1_T1_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,230h,B1,T1,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_230h_B1_T1_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_230h_B1_T1_10X.tiff,230,3000
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_110h_B1_T1_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,110h,B1,T1,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_110h_B1_T1_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_110h_B1_T1_10X.tiff,110,3000
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_314h_B1_T1_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,314h,B1,T1,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_314h_B1_T1_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_314h_B1_T1_10X.tiff,314,3000
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_158h_B1_T1_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,158h,B1,T1,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_158h_B1_T1_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_158h_B1_T1_10X.tiff,158,3000
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_122h_B1_T1_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,122h,B1,T1,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_122h_B1_T1_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_122h_B1_T1_10X.tiff,122,3000
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_182h_B1_T1_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,182h,B1,T1,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_182h_B1_T1_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_182h_B1_T1_10X.tiff,182,3000
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_170h_B1_T1_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,170h,B1,T1,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_170h_B1_T1_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_170h_B1_T1_10X.tiff,170,3000
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_266h_B1_T1_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,266h,B1,T1,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_266h_B1_T1_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_266h_B1_T1_10X.tiff,266,3000
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_074h_B1_T1_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,074h,B1,T1,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_074h_B1_T1_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_074h_B1_T1_10X.tiff,74,3000
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_206h_B1_T1_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,206h,B1,T1,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_206h_B1_T1_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_206h_B1_T1_10X.tiff,206,3000
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_146h_B1_T1_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,146h,B1,T1,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_146h_B1_T1_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_146h_B1_T1_10X.tiff,146,3000
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_218h_B1_T1_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,218h,B1,T1,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_218h_B1_T1_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_218h_B1_T1_10X.tiff,218,3000
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_278h_B1_T1_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,278h,B1,T1,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_278h_B1_T1_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_278h_B1_T1_10X.tiff,278,3000
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_338h_B1_T1_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,338h,B1,T1,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_338h_B1_T1_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_338h_B1_T1_10X.tiff,338,3000
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_350h_B1_T1_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,350h,B1,T1,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_350h_B1_T1_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_350h_B1_T1_10X.tiff,350,3000
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_082h_B1_T1_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,082h,B1,T1,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_082h_B1_T1_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_082h_B1_T1_10X.tiff,82,3000
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_302h_B1_T1_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,302h,B1,T1,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_302h_B1_T1_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T1/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_302h_B1_T1_10X.tiff,302,3000
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_278h_B1_T3_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,278h,B1,T3,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T3/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_278h_B1_T3_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T3/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_278h_B1_T3_10X.tiff,278,3000
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_362h_B1_T3_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,362h,B1,T3,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T3/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_362h_B1_T3_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T3/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_362h_B1_T3_10X.tiff,362,3000
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_254h_B1_T3_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,254h,B1,T3,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T3/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_254h_B1_T3_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T3/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_254h_B1_T3_10X.tiff,254,3000
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_266h_B1_T3_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,266h,B1,T3,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T3/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_266h_B1_T3_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T3/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_266h_B1_T3_10X.tiff,266,3000
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_158h_B1_T3_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,158h,B1,T3,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T3/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_158h_B1_T3_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T3/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_158h_B1_T3_10X.tiff,158,3000
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_290h_B1_T3_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,290h,B1,T3,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T3/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_290h_B1_T3_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T3/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_290h_B1_T3_10X.tiff,290,3000
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_350h_B1_T3_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,350h,B1,T3,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T3/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_350h_B1_T3_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T3/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_350h_B1_T3_10X.tiff,350,3000
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_230h_B1_T3_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,230h,B1,T3,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T3/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_230h_B1_T3_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T3/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_230h_B1_T3_10X.tiff,230,3000
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_146h_B1_T3_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,146h,B1,T3,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T3/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_146h_B1_T3_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T3/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_146h_B1_T3_10X.tiff,146,3000
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_374h_B1_T3_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,374h,B1,T3,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T3/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_374h_B1_T3_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T3/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_374h_B1_T3_10X.tiff,374,3000
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_338h_B1_T3_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,338h,B1,T3,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T3/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_338h_B1_T3_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T3/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_338h_B1_T3_10X.tiff,338,3000
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_242h_B1_T3_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,242h,B1,T3,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T3/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_242h_B1_T3_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T3/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_242h_B1_T3_10X.tiff,242,3000
